Emp ID,Name,DOB,SSN,State
391,Nicole Black,1980-08-10,387-37-1577,Illinois
18,Martha Braun,1973-07-12,429-94-7964,Wyoming
132,Richard Dixon,1974-12-09,143-97-8847,Kentucky
653,Christopher Cole,1976-08-03,546-65-4970,Ohio
355,David Douglas,1985-11-20,076-74-7209,Alaska
403,Andrea Moody,1993-10-09,491-36-2119,Kansas
214,Brandon Smith,1984-09-28,779-81-3699,South Dakota
275,Christopher Manning,1986-05-19,069-66-0040,Hawaii
357,Thomas Crawford,1980-05-28,758-34-4487,Florida
396,Kenneth Walker,1984-09-13,002-81-3756,Indiana
422,Margaret Ramirez,1974-05-22,322-92-6163,Arkansas
530,Zachary Olson,1987-06-12,082-96-6882,Pennsylvania
640,Carla Chavez,1977-01-25,636-89-9258,Minnesota
633,Steven Collier,1982-03-31,508-13-6799,South Carolina
442,Keith Tucker,1984-07-16,068-25-1617,Kentucky
79,Jeremy Ramirez,1978-12-11,298-85-2981,Texas
343,Dustin George,1990-10-17,728-11-3770,Georgia
388,Matthew Wright,1977-04-15,642-71-7679,Virginia
566,Darius Lopez,1981-08-20,442-71-7441,North Carolina
473,Thomas Nunez,1978-05-30,660-71-8400,Kentucky
241,Timothy Ramos,1990-05-03,720-19-4602,Alabama
467,Richard Bell,1985-07-03,614-56-8895,Tennessee
136,Hailey Peters,1979-10-04,050-42-0547,Nevada
220,Ricky Williams,1993-03-10,791-19-9786,Idaho
24,Nathan Lewis,1976-09-10,832-21-2603,Pennsylvania
538,Mariah Young,1995-07-29,214-89-3574,Idaho
13,Susan Bowman,1992-03-15,138-32-9210,Florida
313,Michelle Richardson,1978-07-01,810-62-7078,Mississippi
157,Susan Ford,1996-01-31,494-06-6283,Rhode Island
458,Steven Adams,1978-04-01,643-30-1645,Nebraska
189,Matthew Byrd,1980-12-03,886-51-4289,Rhode Island
429,Paige Hernandez,1988-12-05,218-87-2360,Arizona
83,Carl Martinez,1985-11-22,652-51-7573,Louisiana
330,Kristie Taylor,1988-03-31,539-80-8543,Rhode Island
483,Christopher Vasquez,1981-08-30,178-54-9955,Alaska
144,Anthony Diaz,1976-10-13,676-60-2788,Ohio
127,Kristina Martinez,1995-12-27,898-04-3709,North Carolina
316,Donna Harvey,1973-11-23,406-07-9178,Washington
213,Cynthia Valdez,1987-09-12,681-96-2906,Wisconsin
623,Andre Miller,1991-08-01,443-23-4696,Wyoming
488,Karen Mendez,1974-10-26,068-53-9497,Minnesota
600,Eric Garcia,1979-10-10,300-18-3508,Rhode Island
431,Jacqueline Chase,1984-03-01,894-04-8866,Ohio
266,Sarah Butler,1983-06-16,265-35-9591,Nevada
99,Amanda Leonard,1978-05-13,126-72-8219,Hawaii
326,Jeffrey Smith,1973-12-31,135-23-4178,New Mexico
52,Travis Jordan,1993-11-11,615-83-3703,Kentucky
202,Austin Morton,1973-03-12,854-92-0347,Alabama
378,Peggy Hardy,1974-06-07,451-18-6576,Missouri
60,Douglas Carroll,1988-08-20,354-50-3018,Mississippi
284,Janet Glass,1987-09-18,711-95-8749,Rhode Island
87,Philip Clayton,1984-05-10,271-87-1186,New Hampshire
526,Robert Adams,1979-06-01,105-92-6920,Minnesota
642,Robert Berry,1973-09-04,104-09-2049,Rhode Island
229,Kevin Barron,1974-03-26,659-80-7821,Maine
510,Edward Collier,1978-10-12,035-77-1345,Kentucky
92,Timothy Marshall,1991-11-04,731-91-0986,South Dakota
648,Robert Madden,1979-12-07,466-32-7476,Florida
593,Audrey Smith,1978-03-27,651-82-4525,Idaho
553,Elizabeth Mathews,1983-09-22,724-04-4597,Missouri
643,James Parks,1973-06-05,315-82-8432,Nebraska
105,Ryan Acosta,1977-01-12,362-43-9773,Texas
545,Amy Garrett,1978-01-31,250-30-4256,Alaska
531,Karen Cook,1993-04-19,856-89-5291,Texas
463,Nicholas Ramirez,1976-06-20,295-75-8851,Oregon
412,Anna Griffin,1991-07-15,306-96-2340,Florida
474,Matthew Brown,1983-08-06,508-60-8921,Mississippi
248,Alyssa White,1989-05-13,178-37-1856,South Dakota
598,Christopher Clark,1976-10-14,713-51-6006,Connecticut
547,Jonathan Williams,1984-02-29,291-89-8746,Colorado
421,Shannon Adams,1983-06-25,027-35-4625,Michigan
399,Daniel Martinez,1987-01-28,728-27-0101,Oregon
291,Aaron Castro,1994-02-16,207-16-4879,North Dakota
636,Randall Henry,1984-03-14,321-36-7440,Kansas
295,Nicolas Juarez,1994-07-02,799-67-7866,Texas
200,Richard Howard,1975-12-03,651-65-6236,South Dakota
632,Angela Burns,1973-11-30,098-41-0559,Wisconsin
265,Gregory Johnson,1979-12-02,543-80-3652,Texas
205,George Mason,1988-03-11,892-46-8503,Virginia
242,Scott Clark,1984-07-07,665-05-5101,Maryland
415,Heather Stone,1977-09-16,328-44-5738,West Virginia
499,Carla Mack,1976-05-19,865-02-9967,Virginia
400,Sarah Jordan,1986-07-06,637-40-3089,Georgia
464,Joann Ward,1982-02-21,297-49-0295,Hawaii
387,Andrea Lewis,1975-07-13,272-42-5337,Pennsylvania
323,Jason Hansen,1983-04-03,227-20-8071,Michigan
207,Darryl Mack,1980-11-06,204-61-5792,Arizona
114,Catherine Griffin,1992-03-18,693-41-3090,New Jersey
299,Olivia Davis,1991-06-29,526-66-8492,Georgia
253,Carrie Rogers,1976-09-17,872-20-7402,New Mexico
354,Chad Knight,1988-04-04,320-82-8870,North Carolina
115,Tiffany Stevens,1977-03-13,439-43-7576,New Hampshire
561,Lisa Jones,1994-07-08,014-32-8840,Louisiana
97,Christopher Brown,1975-11-03,332-93-0772,Delaware
106,Dylan Weaver,1979-05-25,161-91-4525,Illinois
16,Emily Matthews,1995-10-10,283-58-2723,Maryland
46,Kenneth Bush,1979-01-22,736-31-6522,South Carolina
102,April Rice,1980-11-24,065-44-7185,Texas
120,Debra Stevens,1985-01-27,522-28-8173,North Carolina
616,Matthew Mccarty,1973-04-22,220-12-7281,Louisiana
263,Jessica Johnson,1989-09-16,250-83-0068,New Hampshire
419,Lydia Cross,1973-12-12,324-71-9989,Arkansas
325,Jeffrey Hall,1994-06-02,445-94-8563,Wisconsin
581,Adam Porter,1991-04-01,648-26-4025,Massachusetts
517,Daniel Mckinney,1980-08-11,874-34-2678,California
78,Amy Orr,1986-03-10,838-93-5212,Utah
449,Maria Estes,1985-10-09,082-14-9210,South Carolina
398,Laura House,1989-03-17,891-31-8384,Missouri
182,Vincent Andrews,1988-01-25,380-94-0261,New Jersey
457,Erica Nunez,1987-07-05,067-84-4177,Vermont
123,Rachel Lyons,1982-05-04,321-03-9424,Delaware
448,Linda Jimenez,1986-10-15,149-85-1523,Wyoming
498,John Hernandez,1993-05-19,047-43-7049,Nevada
328,Samuel Smith,1990-04-08,251-27-6182,Kentucky
11,Kathleen Turner,1993-10-16,334-20-1449,Kentucky
348,Paul Bradford,1995-01-17,121-51-1169,Rhode Island
362,Mark Murillo,1978-10-03,721-33-7295,Tennessee
461,Erin Nelson,1975-12-30,082-52-0029,Colorado
604,Kelli Ward,1985-03-03,601-77-0592,New Hampshire
423,Jeffrey Cabrera,1980-04-17,639-01-4044,Wyoming
181,Robert Mitchell,1979-04-06,604-85-8946,Oregon
551,Jennifer Garcia,1984-08-03,271-49-9638,Wisconsin
546,Amanda Huffman,1987-04-07,161-19-8244,Minnesota
51,Virginia Gomez,1979-03-26,489-57-2769,New Hampshire
19,Danny Davis,1982-07-13,795-16-2891,Ohio
280,Erica Johnson,1978-10-07,475-09-9057,North Dakota
608,Ralph Levine,1991-08-28,349-11-1730,Maryland
631,Elizabeth Wright,1995-12-09,648-57-1250,Pennsylvania
491,Mark Stark,1976-12-09,595-86-8844,Iowa
503,Dawn Zavala,1980-06-19,441-09-9924,Kansas
521,John Washington,1985-08-15,813-81-7940,Vermont
126,David Garcia,1977-04-15,077-74-5001,New Hampshire
109,Laurie Brown,1984-03-04,749-98-0680,California
405,Elizabeth Mccall,1977-11-09,035-99-6447,Pennsylvania
567,Melissa Hunter,1989-04-28,729-55-0508,Iowa
50,Dale Smith,1979-09-04,157-66-1189,New Jersey
437,Charles Price,1976-05-24,610-37-9908,Hawaii
583,Brian Hickman,1993-10-25,441-04-5327,North Dakota
230,Joseph Garcia,1995-04-28,253-11-3664,Illinois
245,Tracey Jones,1984-01-07,375-42-8247,Oregon
292,Christopher Robinson,1981-11-23,767-66-4905,Georgia
190,Barbara Wallace,1984-06-29,335-18-7309,Hawaii
456,Michelle Salinas,1983-09-30,813-67-8355,Louisiana
154,William White,1988-01-23,289-19-0426,Oregon
118,Cynthia Oconnor,1996-01-05,153-89-4089,New Hampshire
406,Elizabeth Warner,1995-07-05,155-02-5413,Colorado
21,Andrea Carey,1974-06-28,560-61-0538,New Mexico
128,Matthew Robinson,1978-10-21,426-12-0855,Rhode Island
208,Briana Mccoy,1987-06-04,789-97-5473,Arkansas
195,Taylor Saunders,1976-04-24,842-22-0880,Massachusetts
70,Alex Reeves,1982-09-26,765-91-5028,Louisiana
440,Justin Lopez,1976-01-25,791-45-3460,Vermont
143,Hector Colon,1982-03-18,786-52-3058,Hawaii
329,Olivia Pacheco,1976-12-29,805-96-4279,South Dakota
206,Andrew Weaver,1988-07-28,143-90-5404,Hawaii
525,Patty Newman,1988-01-01,484-66-3816,Arkansas
564,Timothy Martin,1990-07-12,368-31-6276,Utah
495,Kari Garner,1994-05-18,168-09-9429,Montana
541,Paula Jones,1985-04-05,541-31-6209,Kentucky
618,Mary Montgomery,1978-07-20,378-89-1503,Oregon
478,Stephen Kelley,1979-06-22,492-87-1229,Connecticut
221,Cindy Stevens,1983-08-23,161-96-1757,Oregon
42,Aaron Armstrong,1990-06-12,086-57-3000,Indiana
401,Gary Johnson,1983-03-05,359-45-1271,Vermont
310,Emily Daniels,1980-04-24,786-01-1379,Maine
381,Suzanne Perez,1989-04-01,459-09-5540,Louisiana
509,Christopher Conrad,1978-12-13,440-01-8002,Delaware
327,Eric Blevins,1985-11-18,514-09-7907,Virginia
356,Michael Torres,1995-11-15,116-82-2755,Arizona
369,Gina Vasquez,1989-11-02,830-66-2705,Virginia
268,David Pacheco,1976-10-01,512-71-3349,West Virginia
460,Amber Rodriguez,1993-07-20,517-96-0720,Georgia
392,Jason Daniels,1986-07-17,245-75-8532,Nebraska
494,Kendra Keller,1995-12-07,507-40-1339,Illinois
294,Amy Holt,1976-09-08,783-09-5927,New York
441,April Hood,1993-02-14,030-33-7961,New Mexico
150,Mario Reyes,1986-07-28,236-86-0623,Alaska
30,Jeremy Lindsey,1973-03-06,853-11-4560,Minnesota
390,Mary Velazquez,1976-05-06,036-31-1892,Mississippi
64,Adam Kim,1992-11-08,231-42-0422,Georgia
137,Suzanne Hernandez,1988-05-19,119-39-5183,North Carolina
173,Ashley Jensen,1976-02-04,158-88-9823,Nebraska
65,Lisa King,1974-10-29,433-31-4669,Michigan
183,Michael Mata,1979-12-25,702-64-7723,Alaska
259,Eduardo Cox,1981-10-21,819-50-9688,Mississippi
489,Kelly Reid,1989-06-07,163-14-3732,Illinois
261,Sarah Smith,1981-02-07,127-05-2986,Utah
303,Samantha Beck,1993-10-06,747-97-5274,Rhode Island
518,Rachel Watkins,1981-09-03,286-07-3358,Colorado
409,Samantha Snyder,1992-02-05,027-35-4419,Montana
363,Travis Johnson,1992-10-29,210-61-5100,New York
609,Sue Cooper,1987-04-29,849-56-7144,Ohio
204,Sara Andrews,1987-04-03,646-48-6313,Michigan
12,Jennifer Henderson,1993-12-08,049-58-5500,Mississippi
485,Kevin Johnson,1991-01-05,536-42-1623,Nebraska
273,Cynthia Ballard,1976-11-10,389-82-5531,Wyoming
84,Robert Benson,1980-11-24,215-76-5347,New York
619,Diane Gonzales,1978-06-05,771-33-5256,Kentucky
260,Samuel Lawrence,1990-07-02,098-21-6336,Mississippi
475,Michelle Barrett,1973-03-20,704-41-7212,Idaho
215,Alicia Marshall,1990-04-17,519-47-2579,Minnesota
468,Paul Morris,1988-03-25,316-84-1418,Idaho
231,Stephen Guzman,1990-01-30,498-18-1832,Illinois
479,Phillip Johnson,1985-04-22,040-66-3232,Arizona
251,Erica Morris,1974-01-28,326-73-9640,South Dakota
350,Gloria Howard,1975-04-14,066-33-6970,South Carolina
424,Keith Martinez,1986-03-21,887-12-4429,Indiana
570,Benjamin Olson,1989-03-02,889-39-6381,Missouri
493,Linda Hansen,1976-07-31,875-05-5293,West Virginia
179,Erin Brown,1989-03-07,440-14-4410,Connecticut
103,James Navarro,1991-06-06,424-01-6225,Massachusetts
192,Maria Reynolds,1988-02-12,229-83-1232,Indiana
596,Daniel Jones,1988-07-26,703-45-3210,Pennsylvania
417,Charles Brooks,1981-07-12,704-72-8380,Hawaii
175,Brittany Vega,1973-08-01,746-49-6214,Ohio
29,Patricia Hall,1995-06-03,199-35-1097,Iowa
314,Brooke Bell,1976-09-01,096-30-2813,Kentucky
591,Todd Tran,1979-06-08,762-07-1484,Indiana
477,Angela Cardenas,1981-03-06,895-66-4135,Indiana
6,Michael Wilson,1982-05-29,126-68-9977,Oklahoma
418,Michael Velasquez,1992-02-27,699-56-5530,Texas
452,Jonathan Hicks,1986-05-06,775-12-9842,West Virginia
272,Joshua Powers,1977-03-28,457-54-3410,Vermont
48,Miranda Pierce,1979-07-29,052-87-5055,Montana
321,Eric Sanchez,1991-02-17,341-13-9523,Delaware
296,Vincent Murphy,1982-02-09,724-54-9724,Oregon
281,Brian Aguirre,1978-08-19,784-27-6990,South Dakota
116,Richard Beard,1978-09-10,122-51-1583,Kansas
20,Richard Young,1980-04-08,571-15-5985,Nevada
511,John Khan,1990-07-22,252-30-1653,Pennsylvania
476,Robin David,1993-12-17,470-91-7089,New Hampshire
156,Jennifer Hood,1983-06-13,160-48-2138,Washington
40,Wesley Gibson,1981-12-30,551-39-5602,Virginia
347,Carolyn Floyd,1991-02-02,631-92-9484,Washington
111,Laura Powers,1977-09-24,378-57-4421,Wyoming
575,Andrea Young,1988-11-20,287-83-8923,Kentucky
393,Jacob Chavez,1981-04-25,162-62-7866,Nevada
322,Tami Hampton,1987-03-22,376-08-0909,Wyoming
166,Kristie Castillo,1976-01-13,030-71-2919,Ohio
520,Joseph Rogers,1981-07-20,119-44-7823,Louisiana
332,Anthony Houston,1979-08-13,873-49-9936,Virginia
508,Zachary Perez,1987-04-02,109-48-3359,Missouri
434,Michelle Gregory,1980-07-19,156-29-1104,Delaware
159,Todd Rivers,1982-01-08,366-31-3548,Maryland
389,Christina Joseph,1993-01-26,656-68-4480,Florida
579,Rebecca Lewis,1979-01-22,485-62-5389,Alabama
218,Lorraine Johnson,1975-03-17,684-21-2437,Michigan
252,Adam Ball,1974-01-10,690-65-8463,Nebraska
584,Melody Matthews,1976-01-14,857-57-7546,Virginia
165,Ann Morgan,1976-05-14,629-38-6833,Louisiana
577,Richard Moore,1991-01-17,867-28-5435,New Jersey
124,Samuel Potts,1987-01-16,080-22-0122,Kansas
537,Anthony Ortiz,1981-07-20,297-95-1188,Nebraska
54,Juan Schultz,1984-01-10,213-82-9956,Minnesota
555,Brittany Yu,1975-07-30,329-08-1863,Kentucky
174,Donna Lee,1976-11-08,523-13-3254,West Virginia
560,Cynthia Hughes,1991-06-25,832-63-1235,North Carolina
35,Kevin Montoya,1976-05-18,499-46-4974,Vermont
380,Stephen Walker,1994-05-10,556-03-4862,South Carolina
80,Tyler Ortiz,1993-04-29,501-34-2288,Arkansas
455,Donna Allen,1992-06-04,693-41-6527,California
374,Jon Gilmore,1991-01-19,023-88-9098,North Carolina
588,Patrick Baker,1995-10-23,474-94-7115,Delaware
375,Samantha Washington,1994-02-09,056-67-1307,South Carolina
578,Annette Peters,1990-10-08,282-86-5762,Colorado
47,Emily Bradley,1976-08-01,865-85-0555,Vermont
100,Blake Hansen,1990-08-04,679-12-9135,Florida
186,Beth Roberts,1978-06-15,099-49-4083,Nebraska
26,Scott Riley,1975-01-26,340-06-8205,Ohio
308,Jessica Esparza,1988-07-07,278-65-7214,Missouri
376,Gary Atkinson,1993-10-17,438-78-2786,Hawaii
351,Kristen Johnson,1982-07-27,741-90-9602,Massachusetts
185,Anthony Johnson,1990-11-13,731-88-8319,Kansas
425,Ashley Warner,1995-09-15,136-94-2778,Rhode Island
168,Jennifer Parker,1980-07-09,058-97-7163,Oregon
370,Thomas Williams,1979-11-04,364-60-9323,New Mexico
119,Tammy Villarreal,1980-09-11,690-25-5685,Georgia
654,Natalie Perkins,1973-06-30,280-23-8244,Hawaii
617,Stephanie Robinson,1988-12-09,578-72-2507,Illinois
641,Lisa Lynch,1990-04-06,029-30-3379,South Carolina
445,Julia Glover,1988-04-05,683-66-7426,North Carolina
306,Jesse Brooks,1992-02-17,717-27-0404,New Jersey
365,Anna Valencia,1974-05-29,459-24-8610,Oregon
27,Nancy Richardson,1974-10-31,112-94-0633,Michigan
81,April Espinoza,1987-03-19,736-49-9240,North Dakota
258,Valerie Ellis,1982-08-02,153-07-6105,Rhode Island
602,Russell Gonzalez,1974-02-08,506-74-3766,Wisconsin
524,Michael Wong,1982-08-29,140-29-4340,Kansas
131,Ryan Mccall,1981-09-17,007-96-3879,Missouri
240,Nicole James,1983-08-13,390-59-4292,Rhode Island
44,Linda Fleming,1983-09-15,767-30-3119,Alabama
113,Jenny Gibson,1978-11-02,197-55-5116,West Virginia
576,Nicole Mills,1983-06-23,147-37-4601,Kentucky
523,Jonathan Lopez,1995-03-06,553-29-1354,Massachusetts
534,Dwayne Marshall,1984-04-24,310-30-3640,Vermont
470,Jacqueline Morgan,1981-04-05,640-36-6180,Kentucky
507,Richard Simpson,1988-08-29,090-69-9714,Ohio
164,Ashley Reeves,1980-02-10,763-66-0142,New Jersey
626,Erin Webster,1975-06-17,784-71-3891,Arizona
481,Jacob Gillespie,1987-10-28,797-08-4719,Colorado
501,Benjamin Gardner,1994-03-28,012-80-6837,New Hampshire
227,Robert Newman,1992-07-15,054-58-1677,Maine
622,Daniel Cooley,1983-06-16,055-13-3332,Maine
217,Russell Mason,1992-07-05,060-03-2198,Wisconsin
98,John Young,1983-02-25,195-16-0235,Maryland
269,Barbara Huber,1993-05-20,067-21-5604,New Mexico
145,Sierra Barrera,1982-12-24,267-25-0779,Montana
601,Timothy Johnson,1974-04-29,056-39-0012,Utah
652,Scott Jones,1982-01-31,097-95-5337,Texas
88,Tanya Salinas,1974-06-28,268-88-1849,Montana
104,Theresa Collins,1984-12-14,028-02-4224,North Dakota
304,John Harris,1976-04-30,779-50-5946,Oklahoma
435,Amanda Barker,1994-06-13,029-80-4431,Missouri
469,Michelle Pineda,1990-06-21,626-46-8597,Kentucky
414,Jose Morris,1974-10-11,247-71-8579,Kansas
450,George Richard,1990-04-13,009-22-0670,Maryland
94,Lisa Herrera,1973-09-26,819-56-8625,North Carolina
85,Andrew Jenkins,1981-02-28,139-74-8781,Wisconsin
645,Lisa Edwards,1976-03-29,667-01-3548,Wyoming
649,Samuel Payne,1979-11-14,435-84-1037,Utah
210,Vincent Davis,1993-07-05,381-25-7055,Michigan
233,Tina Black,1977-06-14,744-14-0148,Connecticut
264,Kaylee Horton,1991-12-22,861-60-6998,Delaware
639,Steven Sherman,1994-10-26,317-42-5124,Ohio
232,Nancy Sherman,1973-05-28,885-33-8494,Kansas
397,Matthew Fuentes,1991-02-14,518-50-2019,Massachusetts
311,Candice Edwards,1986-11-06,594-82-8320,Georgia
353,Lisa Cuevas,1977-07-10,093-74-8450,North Carolina
236,Kathryn Wilson,1976-10-18,520-02-2007,Arkansas
107,Phillip Hendrix,1976-08-01,165-68-6652,Missouri
93,Rita Preston,1992-10-09,754-17-9476,Nebraska
285,Denise Sanchez,1988-01-06,768-38-5787,Vermont
395,David Miller,1991-02-08,546-08-7903,Colorado
466,Ernest Andersen,1994-07-26,288-25-1379,Maine
384,Jenna Sherman,1992-07-07,833-14-1993,Nevada
571,Scott Brown,1994-04-29,072-15-4845,Montana
550,James Gonzalez,1977-07-30,798-30-2786,Texas
436,Melinda Kane,1990-10-22,018-86-9785,Missouri
89,Julie Morales,1994-04-05,351-02-7488,Idaho
590,Eileen Gordon,1984-05-09,464-14-5114,North Dakota
573,Alyssa Thornton,1976-04-21,652-15-1585,North Carolina
650,Robin Cannon,1990-10-18,678-37-9335,Utah
10,Katherine Fleming,1978-01-24,288-87-7872,Michigan
278,Megan Salinas,1993-04-23,201-69-7731,Kentucky
646,Jeffrey Simpson,1992-12-06,642-34-5146,Pennsylvania
301,Jeffrey Hall,1988-09-28,783-14-5374,New Hampshire
367,Todd Hughes,1974-09-05,805-10-0046,Kentucky
194,Rachel Dodson,1979-09-30,036-47-8037,Idaho
451,Tiffany Smith,1980-10-10,603-54-4269,Oregon
163,Tracy Gonzalez,1981-10-23,085-06-9905,Illinois
76,Cameron Obrien,1995-06-27,638-90-8830,Wisconsin
211,Tony Conner,1993-01-28,656-66-3863,Texas
293,Scott Giles,1990-07-03,569-98-0498,Tennessee
340,Timothy Long,1973-07-05,272-09-4106,Indiana
216,Kenneth Thompson,1983-08-06,764-52-7992,Oklahoma
620,Brian Jackson,1992-10-06,603-46-3868,Pennsylvania
28,Kyle Zhang,1986-10-30,329-51-9420,Pennsylvania
170,Joseph Evans,1976-03-21,720-91-2470,Idaho
447,Christopher Hawkins,1995-05-12,038-54-9289,Nevada
505,Kristen Boone,1991-08-08,643-56-9563,Nebraska
382,Patricia Stewart,1983-10-07,160-42-3130,Wisconsin
536,Karina Rogers,1976-08-07,874-01-0108,Tennessee
585,Steven Keller,1985-04-19,340-11-1613,Texas
349,Andrew Cross,1989-12-15,396-21-2807,Oregon
75,Nicholas Hill,1985-03-22,175-82-3593,Maryland
644,Brandon Galloway,1992-11-09,044-83-4305,Florida
153,Amanda Manning,1974-01-29,729-81-7564,Maryland
302,Penny Hines,1976-03-10,136-67-4971,South Dakota
527,Kent Smith,1981-05-22,196-04-3089,Pennsylvania
454,Sarah Ortega,1991-01-03,242-65-3226,California
433,Jonathan Ball,1995-09-20,692-01-5738,Texas
7,Mary Gomez,1983-09-23,729-94-6347,Michigan
465,Darren Martin,1979-04-09,667-32-7851,New Hampshire
324,Tiffany Moore,1994-07-28,450-42-4470,Michigan
41,Edwin Rodriguez,1994-05-02,628-50-7891,Kentucky
219,Michael White,1978-12-10,207-53-7808,Rhode Island
256,Kirsten Myers,1978-10-03,678-80-9370,Illinois
568,Denise Ashley,1982-04-28,487-17-3496,Maryland
53,Colin Baker,1995-11-07,759-77-7262,Delaware
152,John James,1980-11-18,207-82-1366,Iowa
420,Scott Gomez,1979-10-16,114-28-0696,Florida
17,Daniel Mcpherson,1983-12-07,680-63-1278,Florida
239,Christopher Greene,1995-02-22,192-24-2707,Arkansas
138,Michael Peterson,1977-04-13,068-81-4791,New Jersey
267,Nicole Mason,1985-06-08,018-73-1831,South Dakota
279,Bobby Castillo,1995-03-01,345-34-2861,New Hampshire
359,David Perez,1993-08-17,067-78-2537,West Virginia
5,David Perez,1987-12-10,232-37-1080,Colorado
462,Lisa Ware,1978-08-03,557-16-1016,New York
139,Jeffrey Snyder,1978-09-02,004-35-8206,North Carolina
439,Levi Brown,1973-05-20,395-16-7569,New Jersey
341,Angela Oneal,1981-02-27,352-03-6674,Alabama
379,Lisa Lin,1994-11-23,753-16-5862,Georgia
56,Tamara Santiago,1979-02-19,047-85-3197,West Virginia
14,Sarah Solis,1995-09-23,238-55-8001,Illinois
300,Richard Turner,1977-03-19,806-92-3484,Texas
178,Angel Mckee,1981-11-10,757-49-8710,Illinois
223,Suzanne Holt,1987-01-11,494-29-9176,New Mexico
222,Cathy Gonzalez,1975-08-14,370-77-4997,Utah
90,Mario Schwartz,1975-08-11,320-58-8542,Michigan
